00000000  08 01 06 48 a2 6d 1b db  b6 21 09 da b6 6d 1b 1b  |...H.m...!...m..|
00000200  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000210  90 68 1b db b6 6d 00 89  b6 6d 1b db 86 44 1b db  |.h...m...m...D..|
00000220  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000230  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000240  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000250  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000260  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000270  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000280  b6 6d 1b 48 b4 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.H.m.......m..|
00000290  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
000002a0  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
000002b0  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
000002c0  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
000002d0  90 68 1b db b6 6d 00 89  ea 6d 1b db 06 24 1a db  |.h...m...m...$..|
000002e0  b6 6d 1b 40 a2 6d 1b db  b6 21 11 db b6 6d 1b 1b  |.m.@.m...!...m..|
000002f0  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000300  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000310  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000320  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000330  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000340  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000350  12 6d 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.m...m...m...$..|
00000360  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000370  80 68 1b db b6 6d 00 88  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000380  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000390  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
000003a0  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
000003b0  90 68 1b db b6 6d 08 d1  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
000003c0  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
000003d0  90 68 1b db b6 6d 00 88  b6 6d 1b db 06 20 1a db  |.h...m...m... ..|
000003e0  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
000003f0  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000400  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000410  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000420  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000430  90 68 1b db b6 6d 00 88  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000440  b6 6d 1b 40 a2 6d 1b db  b6 01 08 da b6 6d 1b 1b  |.m.@.m.......m..|
00000450  80 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000460  b6 6d 1b 40 a2 6d 1b db  b6 01 08 d1 b6 6d 1b 1b  |.m.@.m.......m..|
00000470  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000480  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000490  90 68 1b db b6 6d 00 89  b6 6d 1b db 06 20 1a db  |.h...m...m... ..|
000004a0  b6 6d 1b 40 a2 6d 1b db  b6 01 08 da b6 6d 1b 1b  |.m.@.m.......m..|
000004b0  80 68 1b db b6 6d 00 88  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
000004c0  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
000004d0  80 44 1b db b6 6d 00 89  b6 6d 1b db 06 24 1a db  |.D...m...m...$..|
000004e0  b6 6d 1b 48 a2 6d 1b db  b6 21 09 da b6 6d 1b 5b  |.m.H.m...!...m.[|
000004f0  92 68 1b db b6 6d 09 89  b6 6d 1b db 96 24 1a db  |.h...m...m...$..|
00000500  b6 6d 1b 49 a2 6d 1b db  b6 25 09 da b6 6d 1b 1b  |.m.I.m...%...m..|
00000510  80 68 1b db b6 6d 00 88  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000520  b6 6d 1b 40 a2 6d 1b db  b6 01 09 da b6 6d 1b 1b  |.m.@.m.......m..|
00000530  90 68 1b db b6 6d 00 48  b4 6d 1b db 06 24 1a db  |.h...m.H.m...$..|
00000540  b6 6d 1b 48 a2 6d 1b db  b6 21 09 da b6 6d 1b 5b  |.m.H.m...!...m.[|
00000550  92 68 1b db b6 6d 09 89  b6 6d 1b db 96 24 1a db  |.h...m...m...$..|
00000560  b6 6d 1b 49 a2 6d 1b db  b6 25 09 da b6 6d 1b 5b  |.m.I.m...%...m.[|
00000570  92 68 1b db b6 6d 09 88  b6 6d 1b db 06 24 1a db  |.h...m...m...$..|
00000580  b6 6d 1b 44 a2 7a 1b db  b6 11 09 da b6 6d 1b 1b  |.m.D.z.......m..|
00000590  91 68 1b db b6 6d 04 89  b6 6d 1b db 06 20 11 db  |.h...m...m... ..|
000005a0  b6 6d 1b 40 12 6d 1b db  b6 21 09 da b6 6d 1b db  |.m.@.m...!...m..|
000005b0  93 68 1b db b6 6d 09 89  b6 6d 1b db 96 24 1a db  |.h...m...m...$..|
000005c0  b6 6d 1b 49 a2 6d 1b db  b6 25 09 da b6 6d 1b 5b  |.m.I.m...%...m.[|
000005d0  92 68 1b db b6 6d 09 89  b6 6d 1b db 46 20 1a db  |.h...m...m..F ..|
000005e0  b6 6d 1b 04 a2 6d 1b db  b6 91 09 da b6 6d 1b 1b  |.m...m.......m..|
000005f0  99 68 1b db b6 6d 24 89  b6 6d 1b db 46 24 1a db  |.h...m$..m..F$..|
00000600  b6 6d 1b 00 12 6d 1b db  b6 01 09 d1 b6 6d 1b db  |.m...m.......m..|
00000610  9f 68 1b db b6 6d 0f 89  b6 6d 1b db f6 24 1a db  |.h...m...m...$..|
00000620  b6 6d 1b 49 a2 6d 1b db  b6 25 09 da b6 6d 1b 5b  |.m.I.m...%...m.[|
00000630  92 68 1b db b6 6d 08 88  b6 6d 1b db 46 24 1a db  |.h...m...m..F$..|
00000640  b6 6d 1b 64 a2 6d 1b db  b6 91 08 da b6 6d 1b 1b  |.m.d.m.......m..|
00000650  99 68 1b db b6 6d 24 89  b6 6d 1b db 46 26 1a db  |.h...m$..m..F&..|
00000660  b6 6d 1b 44 a2 6d 1b db  b6 01 00 08 00 00 00 0a  |.m.D.m..........|
00000670  00 00 08 04 00 6e 61 6d  65 0f 00 6d 69 6e 65 63  |.....name..minec|
00000680  72 61 66 74 3a 73 74 6f  6e 65 0a 06 00 73 74 61  |raft:stone...sta|
00000690  74 65 73 08 0a 00 73 74  6f 6e 65 5f 74 79 70 65  |tes...stone_type|
000006a0  05 00 73 74 6f 6e 65 00  03 07 00 76 65 72 73 69  |..stone....versi|
000006b0  6f 6e 10 00 10 01 00 0a  00 00 08 04 00 6e 61 6d  |on...........nam|
000006c0  65 0e 00 6d 69 6e 65 63  72 61 66 74 3a 64 69 72  |e..minecraft:dir|
000006d0  74 0a 06 00 73 74 61 74  65 73 08 09 00 64 69 72  |t...states...dir|
000006e0  74 5f 74 79 70 65 06 00  6e 6f 72 6d 61 6c 00 03  |t_type..normal..|
000006f0  07 00 76 65 72 73 69 6f  6e 10 00 10 01 00 0a 00  |..version.......|
00000700  00 08 04 00 6e 61 6d 65  0f 00 6d 69 6e 65 63 72  |....name..minecr|
00000710  61 66 74 3a 67 72 61 73  73 0a 06 00 73 74 61 74  |aft:grass...stat|
00000720  65 73 00 03 07 00 76 65  72 73 69 6f 6e 10 00 10  |es....version...|
00000730  01 00 0a 00 00 08 04 00  6e 61 6d 65 0d 00 6d 69  |........name..mi|
00000740  6e 65 63 72 61 66 74 3a  61 69 72 0a 06 00 73 74  |necraft:air...st|
00000750  61 74 65 73 00 03 07 00  76 65 72 73 69 6f 6e 10  |ates....version.|
00000760  00 10 01 00 0a 00 00 08  04 00 6e 61 6d 65 0f 00  |..........name..|
00000770  6d 69 6e 65 63 72 61 66  74 3a 73 74 6f 6e 65 0a  |minecraft:stone.|
00000780  06 00 73 74 61 74 65 73  08 0a 00 73 74 6f 6e 65  |..states...stone|
00000790  5f 74 79 70 65 08 00 61  6e 64 65 73 69 74 65 00  |_type..andesite.|
000007a0  03 07 00 76 65 72 73 69  6f 6e 10 00 10 01 00 0a  |...version......|
000007b0  00 00 08 04 00 6e 61 6d  65 16 00 6d 69 6e 65 63  |.....name..minec|
000007c0  72 61 66 74 3a 64 6f 75  62 6c 65 5f 70 6c 61 6e  |raft:double_plan|
000007d0  74 0a 06 00 73 74 61 74  65 73 08 11 00 64 6f 75  |t...states...dou|
000007e0  62 6c 65 5f 70 6c 61 6e  74 5f 74 79 70 65 05 00  |ble_plant_type..|
000007f0  67 72 61 73 73 01 0f 00  75 70 70 65 72 5f 62 6c  |grass...upper_bl|
00000800  6f 63 6b 5f 62 69 74 00  00 03 07 00 76 65 72 73  |ock_bit.....vers|
00000810  69 6f 6e 10 00 10 01 00  0a 00 00 08 04 00 6e 61  |ion...........na|
00000820  6d 65 16 00 6d 69 6e 65  63 72 61 66 74 3a 64 6f  |me..minecraft:do|
00000830  75 62 6c 65 5f 70 6c 61  6e 74 0a 06 00 73 74 61  |uble_plant...sta|
00000840  74 65 73 08 11 00 64 6f  75 62 6c 65 5f 70 6c 61  |tes...double_pla|
00000850  6e 74 5f 74 79 70 65 05  00 67 72 61 73 73 01 0f  |nt_type..grass..|
00000860  00 75 70 70 65 72 5f 62  6c 6f 63 6b 5f 62 69 74  |.upper_block_bit|
00000870  01 00 03 07 00 76 65 72  73 69 6f 6e 10 00 10 01  |.....version....|
00000880  00 0a 00 00 08 04 00 6e  61 6d 65 10 00 6d 69 6e  |.......name..min|
00000890  65 63 72 61 66 74 3a 67  72 61 76 65 6c 0a 06 00  |ecraft:gravel...|
000008a0  73 74 61 74 65 73 00 03  07 00 76 65 72 73 69 6f  |states....versio|
000008b0  6e 10 00 10 01 00                                 |n.....|
