00000000  08 01 08 00 99 11 21 33  33 33 33 90 99 11 32 33  |......!3333...23|
000001c0  33 33 33 16 11 72 33 33  33 33 33 11 21 33 33 33  |333..r33333.!333|
000001d0  33 33 33 21 33 33 33 33  33 33 33 34 33 33 33 33  |333!333333343333|
000001e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000001f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000200  33 33 33 00 00 10 21 33  33 33 33 00 00 11 32 33  |333...!3333...23|
00000210  33 33 33 00 00 11 32 33  33 33 33 00 10 21 33 33  |333...23333..!33|
00000220  33 33 33 00 10 21 33 33  33 33 33 06 11 32 33 33  |333..!33333..233|
00000230  33 33 33 16 11 32 33 33  33 33 33 16 11 32 33 33  |333..233333..233|
00000240  33 33 33 16 11 32 33 33  33 33 33 11 32 33 33 33  |333..233333.2333|
00000250  33 33 33 21 33 33 33 33  33 33 33 34 33 33 33 33  |333!333333343333|
00000260  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000270  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000280  33 33 33 00 00 11 32 33  33 33 33 00 00 11 32 33  |333...23333...23|
00000290  33 33 33 00 10 21 33 33  33 33 33 00 10 21 33 33  |333..!33333..!33|
000002a0  33 33 33 00 11 32 33 33  33 33 33 06 11 32 33 33  |333..233333..233|
000002b0  33 33 33 45 44 34 33 33  33 33 33 44 44 33 33 33  |333ED433333DD333|
000002c0  33 33 33 11 21 33 33 33  33 33 33 44 34 33 33 33  |333.!333333D4333|
000002d0  33 33 33 34 33 33 33 33  33 33 33 33 33 33 33 33  |3334333333333333|
000002e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000002f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000300  33 33 33 00 00 11 32 33  33 33 33 00 00 11 82 33  |333...23333....3|
00000310  33 33 33 00 10 21 33 33  33 33 33 00 10 21 33 33  |333..!33333..!33|
00000320  33 33 33 00 11 32 33 33  33 33 33 45 44 34 33 33  |333..233333ED433|
00000330  33 33 33 44 44 33 33 33  33 33 33 44 44 33 33 33  |333DD333333DD333|
00000340  33 33 33 44 34 33 33 33  33 33 33 44 33 33 33 33  |333D4333333D3333|
00000350  33 33 33 34 33 33 33 33  33 33 33 33 33 33 33 33  |3334333333333333|
00000360  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000370  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000380  33 33 33 55 55 44 34 33  33 33 33 55 45 44 33 33  |333UUD43333UED33|
00000390  33 33 33 00 10 21 33 33  33 33 33 00 10 21 33 33  |333..!33333..!33|
000003a0  33 33 33 45 44 34 33 33  33 33 33 45 44 34 33 33  |333ED433333ED433|
000003b0  33 33 33 44 44 33 33 33  33 33 33 44 34 33 33 33  |333DD333333D4333|
000003c0  33 33 33 44 34 33 33 33  33 33 33 34 33 33 33 33  |333D433333343333|
000003d0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000003e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000003f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000400  33 33 33 55 45 44 33 33  33 33 33 55 45 44 33 33  |333UED33333UED33|
00000410  33 33 33 55 45 44 33 33  33 33 33 55 44 34 33 33  |333UED33333UD433|
00000420  33 33 33 55 44 34 33 33  33 33 33 45 44 34 33 33  |333UD433333ED433|
00000430  33 33 33 45 44 33 33 33  33 33 33 44 34 33 33 33  |333ED333333D4333|
00000440  33 33 33 44 33 33 33 33  33 33 33 34 33 33 33 33  |333D333333343333|
00000450  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000460  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000470  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000480  33 33 33 55 45 44 33 33  33 33 33 55 45 44 33 33  |333UED33333UED33|
00000490  33 33 33 55 45 44 33 33  33 33 33 55 44 34 33 33  |333UED33333UD433|
000004a0  33 33 33 55 44 34 33 33  33 33 33 45 44 33 33 33  |333UD433333ED333|
000004b0  33 33 33 44 34 33 33 33  33 33 33 44 33 33 33 33  |333D4333333D3333|
000004c0  33 33 33 34 33 33 33 33  33 33 33 33 33 33 33 33  |3334333333333333|
000004d0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000004e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000004f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000500  33 33 33 55 45 44 33 33  33 33 33 55 45 44 33 33  |333UED33333UED33|
00000510  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
00000520  33 33 33 55 44 34 33 33  33 33 33 45 44 33 33 33  |333UD433333ED333|
00000530  33 33 33 44 34 33 33 33  33 33 33 44 33 33 33 33  |333D4333333D3333|
00000540  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000550  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000560  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000570  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000580  33 33 33 55 45 44 33 33  33 33 33 55 44 34 33 33  |333UED33333UD433|
00000590  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
000005a0  33 33 33 55 44 34 33 33  33 33 33 45 44 33 33 33  |333UD433333ED333|
000005b0  33 33 33 44 34 33 33 33  33 33 33 34 33 33 33 33  |333D433333343333|
000005c0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000005d0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000005e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000005f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000600  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
00000610  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
00000620  33 33 33 55 44 34 33 33  33 33 33 45 44 33 33 33  |333UD433333ED333|
00000630  33 33 33 44 33 33 33 33  33 33 33 34 33 33 33 33  |333D333333343333|
00000640  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000650  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000660  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000670  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000680  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
00000690  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
000006a0  33 33 33 55 44 34 33 33  33 33 33 45 44 33 33 33  |333UD433333ED333|
000006b0  33 33 33 44 33 33 33 33  33 33 33 34 33 33 33 33  |333D333333343333|
000006c0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000006d0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000006e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000006f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000700  33 33 33 55 45 34 33 33  33 33 33 55 44 34 33 33  |333UE433333UD433|
00000710  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
00000720  33 33 33 55 44 34 33 33  33 33 33 44 34 33 33 33  |333UD433333D4333|
00000730  33 33 33 44 33 33 33 33  33 33 33 33 33 33 33 33  |333D333333333333|
00000740  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000750  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000760  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000770  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000780  33 33 33 55 45 34 33 33  33 33 33 55 44 34 33 33  |333UE433333UD433|
00000790  33 33 33 55 44 34 33 33  33 33 33 55 44 34 33 33  |333UD433333UD433|
000007a0  33 33 33 55 44 34 33 33  33 33 33 44 34 33 33 33  |333UD433333D4333|
000007b0  33 33 33 44 33 33 33 33  33 33 33 33 33 33 33 33  |333D333333333333|
000007c0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000007d0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000007e0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
000007f0  33 33 33 33 33 33 33 33  33 33 33 33 33 33 33 33  |3333333333333333|
00000800  33 33 33 0a 00 00 00 0a  00 00 08 04 00 6e 61 6d  |333..........nam|
00000810  65 0f 00 6d 69 6e 65 63  72 61 66 74 3a 73 74 6f  |e..minecraft:sto|
00000820  6e 65 0a 06 00 73 74 61  74 65 73 08 0a 00 73 74  |ne...states...st|
00000830  6f 6e 65 5f 74 79 70 65  05 00 73 74 6f 6e 65 00  |one_type..stone.|
00000840  03 07 00 76 65 72 73 69  6f 6e 10 00 10 01 00 0a  |...version......|
00000850  00 00 08 04 00 6e 61 6d  65 0e 00 6d 69 6e 65 63  |.....name..minec|
00000860  72 61 66 74 3a 64 69 72  74 0a 06 00 73 74 61 74  |raft:dirt...stat|
00000870  65 73 08 09 00 64 69 72  74 5f 74 79 70 65 06 00  |es...dirt_type..|
00000880  6e 6f 72 6d 61 6c 00 03  07 00 76 65 72 73 69 6f  |normal....versio|
00000890  6e 10 00 10 01 00 0a 00  00 08 04 00 6e 61 6d 65  |n...........name|
000008a0  0f 00 6d 69 6e 65 63 72  61 66 74 3a 67 72 61 73  |..minecraft:gras|
000008b0  73 0a 06 00 73 74 61 74  65 73 00 03 07 00 76 65  |s...states....ve|
000008c0  72 73 69 6f 6e 10 00 10  01 00 0a 00 00 08 04 00  |rsion...........|
000008d0  6e 61 6d 65 0d 00 6d 69  6e 65 63 72 61 66 74 3a  |name..minecraft:|
000008e0  61 69 72 0a 06 00 73 74  61 74 65 73 00 03 07 00  |air...states....|
000008f0  76 65 72 73 69 6f 6e 10  00 10 01 00 0a 00 00 08  |version.........|
00000900  04 00 6e 61 6d 65 0e 00  6d 69 6e 65 63 72 61 66  |..name..minecraf|
00000910  74 3a 73 61 6e 64 0a 06  00 73 74 61 74 65 73 08  |t:sand...states.|
00000920  09 00 73 61 6e 64 5f 74  79 70 65 06 00 6e 6f 72  |..sand_type..nor|
00000930  6d 61 6c 00 03 07 00 76  65 72 73 69 6f 6e 10 00  |mal....version..|
00000940  10 01 00 0a 00 00 08 04  00 6e 61 6d 65 13 00 6d  |.........name..m|
00000950  69 6e 65 63 72 61 66 74  3a 73 61 6e 64 73 74 6f  |inecraft:sandsto|
00000960  6e 65 0a 06 00 73 74 61  74 65 73 08 0f 00 73 61  |ne...states...sa|
00000970  6e 64 5f 73 74 6f 6e 65  5f 74 79 70 65 07 00 64  |nd_stone_type..d|
00000980  65 66 61 75 6c 74 00 03  07 00 76 65 72 73 69 6f  |efault....versio|
00000990  6e 10 00 10 01 00 0a 00  00 08 04 00 6e 61 6d 65  |n...........name|
000009a0  0f 00 6d 69 6e 65 63 72  61 66 74 3a 73 74 6f 6e  |..minecraft:ston|
000009b0  65 0a 06 00 73 74 61 74  65 73 08 0a 00 73 74 6f  |e...states...sto|
000009c0  6e 65 5f 74 79 70 65 07  00 67 72 61 6e 69 74 65  |ne_type..granite|
000009d0  00 03 07 00 76 65 72 73  69 6f 6e 10 00 10 01 00  |....version.....|
000009e0  0a 00 00 08 04 00 6e 61  6d 65 11 00 6d 69 6e 65  |......name..mine|
000009f0  63 72 61 66 74 3a 70 75  6d 70 6b 69 6e 0a 06 00  |craft:pumpkin...|
00000a00  73 74 61 74 65 73 03 09  00 64 69 72 65 63 74 69  |states...directi|
00000a10  6f 6e 00 00 00 00 00 03  07 00 76 65 72 73 69 6f  |on........versio|
00000a20  6e 10 00 10 01 00 0a 00  00 08 04 00 6e 61 6d 65  |n...........name|
00000a30  11 00 6d 69 6e 65 63 72  61 66 74 3a 70 75 6d 70  |..minecraft:pump|
00000a40  6b 69 6e 0a 06 00 73 74  61 74 65 73 03 09 00 64  |kin...states...d|
00000a50  69 72 65 63 74 69 6f 6e  03 00 00 00 00 03 07 00  |irection........|
00000a60  76 65 72 73 69 6f 6e 10  00 10 01 00 0a 00 00 08  |version.........|
00000a70  04 00 6e 61 6d 65 10 00  6d 69 6e 65 63 72 61 66  |..name..minecraf|
00000a80  74 3a 67 72 61 76 65 6c  0a 06 00 73 74 61 74 65  |t:gravel...state|
00000a90  73 00 03 07 00 76 65 72  73 69 6f 6e 10 00 10 01  |s....version....|
00000aa0  00                                                |.|
