00000000  08 01 08 00 00 00 40 04  00 00 00 00 00 00 00 00  |......@.........|
00000330  00 00 00 01 00 40 04 00  00 00 00 01 00 40 04 00  |.....@.......@..|
00000340  00 00 00 12 00 00 04 00  00 00 00 12 00 00 00 00  |................|
00000350  00 00 00 22 01 00 00 00  00 00 00 22 01 00 00 00  |..."......."....|
00000360  00 00 00 23 12 00 00 00  00 00 00 23 12 00 00 00  |...#.......#....|
00000370  00 00 00 22 01 00 00 00  00 00 00 22 01 00 00 00  |..."......."....|
00000380  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000390  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000003a0  00 00 00 00 00 00 00 00  00 00 00 00 40 04 00 00  |............@...|
000003b0  00 00 00 06 40 04 00 00  00 00 00 00 40 04 00 00  |....@.......@...|
000003c0  00 00 00 00 40 04 00 00  00 00 00 01 00 00 00 00  |....@...........|
000003d0  00 00 00 12 00 00 00 00  00 00 00 22 01 00 00 00  |..........."....|
000003e0  00 00 00 23 12 00 00 00  00 00 00 22 01 00 00 00  |...#......."....|
000003f0  00 00 00 22 01 00 00 00  00 00 00 22 01 00 00 00  |..."......."....|
00000400  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000410  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000420  00 00 00 00 40 04 00 00  00 00 00 06 40 44 00 00  |....@.......@D..|
00000430  00 00 00 06 40 44 04 00  00 00 00 00 40 44 00 00  |....@D......@D..|
00000440  00 00 00 06 40 04 00 00  00 00 00 00 00 00 00 00  |....@...........|
00000450  00 00 00 12 00 00 00 00  00 00 00 22 01 00 00 00  |..........."....|
00000460  00 00 00 22 01 00 00 00  00 00 00 22 01 00 00 00  |..."......."....|
00000470  00 00 00 22 01 00 00 00  00 00 00 22 01 00 00 00  |..."......."....|
00000480  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000490  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000004a0  00 00 00 00 40 04 00 00  00 00 00 00 40 44 04 00  |....@.......@D..|
000004b0  00 00 00 55 55 55 04 00  00 00 00 00 40 44 04 00  |...UUU......@D..|
000004c0  00 00 00 00 40 04 00 00  00 00 00 00 00 00 00 00  |....@...........|
000004d0  00 00 00 01 00 00 00 00  00 00 00 12 00 00 00 00  |................|
000004e0  00 00 00 12 00 00 00 00  00 00 00 12 00 00 00 00  |................|
000004f0  00 00 00 12 00 00 00 00  00 00 00 12 00 00 00 00  |................|
00000500  00 00 00 01 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000510  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000520  00 00 00 00 40 04 00 00  00 00 00 00 40 44 00 00  |....@.......@D..|
00000530  00 00 00 06 40 44 04 00  00 00 00 06 40 04 00 00  |....@D......@...|
00000540  00 00 00 00 40 04 00 00  00 00 00 00 00 00 00 00  |....@...........|
00000550  00 00 00 00 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000560  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000570  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000580  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000590  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000005a0  00 00 00 00 40 04 00 00  00 00 00 00 40 04 00 00  |....@.......@...|
000005b0  00 00 00 00 40 04 00 00  00 00 00 06 40 04 00 00  |....@.......@...|
000005c0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000005d0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000005e0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000005f0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000600  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000610  00 00 00 01 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000620  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000630  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000640  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000650  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000660  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000670  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000680  00 00 00 12 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000690  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
000006a0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000006b0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000006c0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000006d0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000006e0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000006f0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000700  00 00 00 12 00 00 00 00  00 00 00 12 00 00 00 00  |................|
00000710  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
00000720  00 00 00 01 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000730  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000740  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000750  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000760  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000770  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000780  00 00 00 12 00 00 00 00  00 00 00 12 00 00 00 00  |................|
00000790  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
000007a0  00 00 00 01 00 00 00 00  00 00 00 01 00 00 00 00  |................|
000007b0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000007c0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000007d0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000007e0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000007f0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000800  00 00 00 09 00 00 00 0a  00 00 08 04 00 6e 61 6d  |.............nam|
00000810  65 0d 00 6d 69 6e 65 63  72 61 66 74 3a 61 69 72  |e..minecraft:air|
00000820  0a 06 00 73 74 61 74 65  73 00 03 07 00 76 65 72  |...states....ver|
00000830  73 69 6f 6e 10 00 10 01  00 0a 00 00 08 04 00 6e  |sion...........n|
00000840  61 6d 65 0f 00 6d 69 6e  65 63 72 61 66 74 3a 67  |ame..minecraft:g|
00000850  72 61 73 73 0a 06 00 73  74 61 74 65 73 00 03 07  |rass...states...|
00000860  00 76 65 72 73 69 6f 6e  10 00 10 01 00 0a 00 00  |.version........|
00000870  08 04 00 6e 61 6d 65 0e  00 6d 69 6e 65 63 72 61  |...name..minecra|
00000880  66 74 3a 64 69 72 74 0a  06 00 73 74 61 74 65 73  |ft:dirt...states|
00000890  08 09 00 64 69 72 74 5f  74 79 70 65 06 00 6e 6f  |...dirt_type..no|
000008a0  72 6d 61 6c 00 03 07 00  76 65 72 73 69 6f 6e 10  |rmal....version.|
000008b0  00 10 01 00 0a 00 00 08  04 00 6e 61 6d 65 0f 00  |..........name..|
000008c0  6d 69 6e 65 63 72 61 66  74 3a 73 74 6f 6e 65 0a  |minecraft:stone.|
000008d0  06 00 73 74 61 74 65 73  08 0a 00 73 74 6f 6e 65  |..states...stone|
000008e0  5f 74 79 70 65 05 00 73  74 6f 6e 65 00 03 07 00  |_type..stone....|
000008f0  76 65 72 73 69 6f 6e 10  00 10 01 00 0a 00 00 08  |version.........|
00000900  04 00 6e 61 6d 65 10 00  6d 69 6e 65 63 72 61 66  |..name..minecraf|
00000910  74 3a 6c 65 61 76 65 73  0a 06 00 73 74 61 74 65  |t:leaves...state|
00000920  73 08 0d 00 6f 6c 64 5f  6c 65 61 66 5f 74 79 70  |s...old_leaf_typ|
00000930  65 03 00 6f 61 6b 01 0e  00 70 65 72 73 69 73 74  |e..oak...persist|
00000940  65 6e 74 5f 62 69 74 00  01 0a 00 75 70 64 61 74  |ent_bit....updat|
00000950  65 5f 62 69 74 00 00 03  07 00 76 65 72 73 69 6f  |e_bit.....versio|
00000960  6e 10 00 10 01 00 0a 00  00 08 04 00 6e 61 6d 65  |n...........name|
00000970  0d 00 6d 69 6e 65 63 72  61 66 74 3a 6c 6f 67 0a  |..minecraft:log.|
00000980  06 00 73 74 61 74 65 73  08 0c 00 6f 6c 64 5f 6c  |..states...old_l|
00000990  6f 67 5f 74 79 70 65 03  00 6f 61 6b 08 0b 00 70  |og_type..oak...p|
000009a0  69 6c 6c 61 72 5f 61 78  69 73 01 00 79 00 03 07  |illar_axis..y...|
000009b0  00 76 65 72 73 69 6f 6e  10 00 10 01 00 0a 00 00  |.version........|
000009c0  08 04 00 6e 61 6d 65 13  00 6d 69 6e 65 63 72 61  |...name..minecra|
000009d0  66 74 3a 74 61 6c 6c 67  72 61 73 73 0a 06 00 73  |ft:tallgrass...s|
000009e0  74 61 74 65 73 08 0f 00  74 61 6c 6c 5f 67 72 61  |tates...tall_gra|
000009f0  73 73 5f 74 79 70 65 04  00 74 61 6c 6c 00 03 07  |ss_type..tall...|
00000a00  00 76 65 72 73 69 6f 6e  10 00 10 01 00 0a 00 00  |.version........|
00000a10  08 04 00 6e 61 6d 65 12  00 6d 69 6e 65 63 72 61  |...name..minecra|
00000a20  66 74 3a 63 6f 61 6c 5f  6f 72 65 0a 06 00 73 74  |ft:coal_ore...st|
00000a30  61 74 65 73 00 03 07 00  76 65 72 73 69 6f 6e 10  |ates....version.|
00000a40  00 10 01 00 0a 00 00 08  04 00 6e 61 6d 65 10 00  |..........name..|
00000a50  6d 69 6e 65 63 72 61 66  74 3a 67 72 61 76 65 6c  |minecraft:gravel|
00000a60  0a 06 00 73 74 61 74 65  73 00 03 07 00 76 65 72  |...states....ver|
00000a70  73 69 6f 6e 10 00 10 01  00                       |sion.....|
